Question,Answer
What is grey market premium in IPO?,Grey market premium (GMP) is the informal price at which IPO shares are traded before official listing. It indicates expected listing gains but is unofficial and risky.
What is ASBA in IPO application?,"ASBA (Application Supported by Blocked Amount) blocks the application money in your bank account. If shares aren't allotted, the block is released automatically."
What is Sensex?,"Sensex is the BSE benchmark index tracking 30 large, well-established companies. A rise in Sensex broadly means the Indian economy is doing well."
What is Nifty 50?,"Nifty 50 is NSE's benchmark tracking 50 large-cap companies. It's widely used for index funds, ETFs, and as a performance benchmark for fund managers."
What is market capitalisation?,"Market cap is the total value of a company's shares — calculated by multiplying share price by total number of shares. Large-cap: above ₹20,000 crore."
What is a large-cap stock?,"Large-cap stocks are the top 100 companies by market cap on Indian exchanges. They are more stable, well-established, and have more liquidity."
What is a mid-cap stock?,Mid-cap stocks are companies ranked 101st to 250th by market cap. They offer higher growth potential than large-caps but with more volatility.
What is a small-cap stock?,Small-cap stocks are companies below 250th rank by market cap. They can multiply in value rapidly but are high-risk and less liquid.
What is a blue-chip stock?,"A blue-chip stock is a share of a well-known, financially stable company with a long record of reliable performance. Examples: TCS, HDFC Bank, Infosys."
What is a sector fund?,"A sector fund invests in companies from a specific industry — IT, pharma, banking, FMCG. High reward but concentration risk."
What is a thematic fund?,"A thematic fund invests across sectors around a theme — like infrastructure, consumption, ESG, or digital economy. More diversified than sector funds."
What is SEBI's role?,"SEBI regulates and develops India's securities market — it makes rules for stock exchanges, protects investor interests, and prevents fraud and insider trading."
What is insider trading?,"Insider trading is when someone with access to non-public, price-sensitive information trades shares to gain an unfair advantage. It's illegal and penalized by SEBI."
What is a circuit breaker in stock market?,"A circuit breaker halts trading temporarily when the index moves up or down by 10%, 15%, or 20% in a day, preventing panic-driven extreme movements."
What is an upper circuit?,An upper circuit is a maximum price rise limit (like 5% or 20%) for a stock in a single trading session to prevent excessive speculation.
What is a lower circuit?,"A lower circuit is a maximum price fall limit for a stock in a session, preventing panic selling beyond a set percentage."
What is intraday trading?,Intraday trading means buying and selling shares within the same trading day. Profit depends on short-term price movements. High risk; not for beginners.
What is delivery trading?,Delivery trading means buying shares and holding them in your demat account for more than one day. Suitable for long-term investors.
What is BTST trade?,"BTST (Buy Today Sell Tomorrow) is when you sell shares the next day after buying, before they are officially credited to your demat account."
What is margin trading?,"Margin trading lets you buy more stocks than you can afford by borrowing funds from your broker, using your existing portfolio as collateral. High risk."
What is short selling?,"Short selling means selling a stock you don't own (borrowed from a broker), expecting its price to fall, so you can buy it back cheaper and profit."
What is futures trading?,A futures contract is an agreement to buy or sell an asset at a predetermined price on a future date. Used for hedging or speculation.
What is options trading?,Options give you the right (not obligation) to buy (call) or sell (put) an asset at a set price before a specific date. Used for hedging and speculation.
What is a derivative?,"A derivative is a financial contract whose value is derived from an underlying asset — like stocks, bonds, currencies, or commodities. Includes futures and options."
What is NSDL?,NSDL (National Securities Depository Limited) holds your shares and securities in electronic form. It's one of India's two main depositories alongside CDSL.
What is CDSL?,"CDSL (Central Depository Services Limited) is the other depository in India, holding shares, bonds, and mutual fund units in electronic (demat) form."
What is a depository participant?,A DP is an agent of NSDL or CDSL — like a bank or broker — through whom you open your demat account. They link you to the depository.
What is a portfolio management service?,PMS is a customised investment service for HNIs (minimum ₹50 lakh) where a professional fund manager actively manages a portfolio of stocks on your behalf.
What is an alternative investment fund?,"AIF is a privately pooled fund investing in assets like real estate, private equity, hedge funds, and venture capital. Minimum investment is ₹1 crore."
What is a real estate investment trust?,"REITs allow you to invest in income-generating real estate (like malls and offices) listed on stock exchanges, earning rental income without directly owning property."
What is an Infrastructure Investment Trust?,"InvITs are listed trusts that pool money from investors to invest in infrastructure assets (roads, power, pipelines), paying out regular income from project revenues."
What is commodity trading?,"Commodity trading involves buying and selling physical goods like gold, silver, crude oil, and agricultural products through exchanges like MCX or NCDEX."
What is MCX?,"MCX (Multi Commodity Exchange) is India's largest commodity derivatives exchange, where contracts for gold, silver, copper, crude oil, and other commodities are traded."
What is gold ETF?,A gold ETF is an exchange-traded fund where each unit represents physical gold. You can buy and sell gold ETF units like shares on the stock exchange.
What is a liquid fund?,"A liquid mutual fund invests in short-term money market instruments. It's safer than equity, offers slightly better returns than savings accounts, and is highly liquid — redemption in 24 hours."
What is an overnight fund?,An overnight fund invests in securities maturing the next day. It's the safest mutual fund category and ideal for parking surplus cash for 1–3 days.
What is an arbitrage fund?,"An arbitrage fund exploits price differences between cash and futures markets. It's taxed like equity but is low risk, making it efficient for short-term parking."
What is dividend reinvestment plan (DRIP)?,"DRIP automatically reinvests dividends received from a stock or mutual fund back into more units or shares, compounding wealth without any effort."
What is a capital gain distribution?,"When a mutual fund sells securities at a profit, it distributes the gains to unit holders as capital gain distributions, which may attract tax."
What is a stop-loss order?,"A stop-loss is an automatic order to sell a stock when its price falls to a set level, limiting your maximum loss on a trade."
What is limit order?,"A limit order is an instruction to buy or sell a stock only at a specific price or better. Unlike a market order, execution is not guaranteed."
What is a market order?,A market order is to buy or sell a stock immediately at the best available price in the market. Execution is guaranteed but the exact price isn't.
What is the settlement cycle in India?,NSE and BSE follow T+1 settlement — shares bought today are credited to your demat account by the next trading day.
What is STT?,"Securities Transaction Tax is a tax levied on buying or selling of shares, mutual fund units, and derivatives on Indian stock exchanges. It's collected at source."
What is LTCG tax on equity?,Long-term capital gains above ₹1 lakh from equity shares held over 1 year are taxed at 10% without indexation.
What is STCG tax on equity?,Short-term capital gains from equity shares sold within 1 year are taxed at 15% (now 20% from FY2025).
What is indexation benefit?,"Indexation adjusts your purchase price for inflation, reducing taxable capital gains on debt mutual funds and property held for long term."
What is a stock broker?,A stockbroker is a SEBI-registered intermediary who executes buy and sell orders on the stock exchange on your behalf. They earn a brokerage commission per trade.
What is a discount broker?,"A discount broker offers low-cost trading without investment advisory services. Examples: Zerodha, Upstox, Groww. They charge flat fees per trade."
What is a full-service broker?,"A full-service broker provides research, advisory, portfolio management, and trading. Higher commissions than discount brokers. Examples: ICICI Direct, Motilal Oswal."
What is a trading terminal?,"A trading terminal is software provided by a broker through which traders place orders, monitor prices, and analyse charts in real time."
What is an algo trading?,"Algorithmic (algo) trading uses computer programs to execute trades automatically based on pre-defined rules — price, time, volume — at high speed and frequency."
What is an ETF expense ratio?,"The expense ratio is the annual fee charged by an ETF or mutual fund to cover management and operational costs, expressed as a percentage of assets under management."
What is an index ETF?,"An index ETF tracks a benchmark index like Nifty 50 or Sensex, replicating its composition. Very low cost and passive strategy."
What is a sector rotation strategy?,"Sector rotation is shifting investments from one sector to another based on the economic cycle — for example, moving from defensive sectors (FMCG) to cyclical ones (metals) during recovery."
What is market timing?,Market timing is trying to buy at the market bottom and sell at the top. It's extremely difficult to do consistently — most experts recommend staying invested instead.
What is a financial benchmark?,A financial benchmark is a standard index or rate used to measure performance — like Nifty 50 for equity funds or G-Sec yield for debt funds.
What is the yield curve?,The yield curve plots interest rates of bonds of the same quality but different maturities. A normal upward-sloping curve means the economy is healthy; an inverted curve can signal recession.
What is quantitative easing?,Quantitative easing (QE) is when a central bank buys government securities or other financial assets to inject money into the economy and stimulate growth.
What is the exchange traded market vs OTC market?,"An exchange-traded market (like NSE) is regulated with standardized contracts. OTC (Over-the-Counter) markets involve direct, customised deals between two parties without an exchange."
What is a bank's annual report?,"An annual report is a yearly document published by a bank showing its financial performance, profit and loss, NPA levels, capital strength, and future plans."
What is gross NPA ratio?,Gross NPA ratio is the total NPAs as a percentage of a bank's total loans. A lower ratio means better loan quality and health of the bank.
What is net NPA?,Net NPA is gross NPA minus the provisions already set aside for those bad loans. It shows the actual uncovered risk the bank faces.
What is provisioning coverage ratio?,PCR is the percentage of bad loans a bank has already set aside provisions for. A higher PCR (like 70%+) shows the bank is well-protected against future losses.
What is a bank's net worth?,A bank's net worth is its total assets minus total liabilities — essentially the shareholders' equity. It's a measure of financial strength.
What is tier 1 capital?,"Tier 1 capital is a bank's core equity capital — paid-up capital, reserves, and retained earnings — that absorbs losses without closing the bank."
What is tier 2 capital?,"Tier 2 capital is supplementary capital like subordinated debt and loan loss provisions, providing additional buffer but less reliable than Tier 1."
What is a bank's leverage ratio?,The leverage ratio measures a bank's capital against its total exposure. RBI requires banks to maintain a minimum leverage ratio to prevent over-borrowing.
What is a performing asset?,"A performing asset is a loan where the borrower is making regular interest and principal payments on time, as agreed in the loan contract."
What is interest income for a bank?,Interest income is the money a bank earns from the interest it charges on loans and advances. It's the primary source of revenue for most banks.
What is non-interest income for a bank?,"Non-interest income includes fees and commissions from services like account maintenance, fund transfers, insurance, and wealth management."
What is CASA ratio?,CASA ratio is the proportion of Current Account and Savings Account deposits to total deposits. A higher CASA (above 40%) means cheaper funds for the bank.
What is a bank's spread?,Spread is the difference between the interest rate a bank charges on loans and the rate it pays on deposits. A wider spread means more profit.
What is a banking ombudsman?,RBI's Integrated Ombudsman resolves complaints against banks and NBFCs. You can file for free online at cms.rbi.org.in if your bank doesn't resolve the issue in 30 days.
What is a credit appraisal?,"Credit appraisal is the process of evaluating a loan applicant's ability and willingness to repay — checking income, credit history, employment, and the purpose of the loan."
What is a guarantor vs co-applicant?,A co-applicant shares ownership and repayment of the loan equally. A guarantor only pays if the borrower defaults and doesn't get the loan benefit.
What is a bullet repayment loan?,A bullet loan requires you to pay only interest during the loan period and repay the entire principal in one lump sum at the end of the tenure.
What is an evergreening of loans?,"Evergreening is an illegal practice where banks extend new loans to borrowers just to repay old ones, hiding NPAs. RBI strictly monitors and penalises this."
What is the interbank rate?,"The interbank rate is the interest rate at which banks lend to each other for short-term needs. In India, MIBOR (Mumbai Interbank Offered Rate) is the key benchmark."
What is MIBOR?,Mumbai Interbank Offered Rate (MIBOR) is the rate at which Indian banks lend overnight to each other. It reflects short-term market liquidity and closely tracks RBI's repo rate.
What is a structured product in banking?,"A structured product combines a traditional instrument (bond or FD) with a derivative to offer customised risk-return profiles, usually for HNIs and institutions."
What is a bank's credit rating?,"A bank's credit rating (AA+, AA, A) is issued by agencies like CRISIL or ICRA based on capital strength, asset quality, management, and earnings stability."
What is window dressing in banking?,Window dressing is when banks temporarily improve their balance sheet numbers at quarter-end by calling in loans or shifting funds to look financially healthier than they are.
What is the difference between bank and NBFC?,"A bank holds a banking licence, accepts public deposits, provides all banking services, and is regulated by RBI. An NBFC doesn't have a banking licence, can't accept demand deposits, but can give loans."
What is a credit card balance transfer?,"Balance transfer moves your outstanding credit card debt to a new card offering lower or zero interest for a promotional period, reducing your interest burden."
What is micro ATM?,A micro ATM is a handheld device used by banking correspondents in rural areas to allow customers to withdraw cash or check balance using Aadhaar biometrics or card.
What is digital onboarding?,Digital onboarding is the process of becoming a customer of a bank or financial service entirely through online channels — without physical documents or branch visits.
What is a soft loan?,"A soft loan is offered at below-market interest rates, often by governments or development banks to support sectors like agriculture, exports, or social housing."
What is the Basel Accord?,"The Basel Accords (I, II, III) are international banking regulations developed by the Basel Committee on Banking Supervision to ensure banks hold enough capital to absorb losses."
What is a debt-to-income ratio?,Debt-to-Income (DTI) ratio compares your total monthly debt payments to gross monthly income. Banks prefer it below 40–50% when evaluating loan eligibility.
What is a fixed-rate home loan?,"A fixed-rate home loan has the same interest rate throughout the tenure, making EMIs predictable. Useful when rates are expected to rise."
What is a floating-rate home loan?,A floating-rate home loan's interest rate changes with market benchmarks like the repo rate. EMIs can go up or down when rates change.
What is a bank's cost of funds?,Cost of funds is the average interest rate a bank pays to acquire its funds — from deposits and borrowings. Keeping it low improves profitability.
What is a delinquency rate?,The delinquency rate is the percentage of loans where borrowers have missed at least one payment. A rising rate signals worsening loan quality.
What is a Wilful defaulter?,"A wilful defaulter is a borrower who can repay but deliberately chooses not to. Banks cannot give new loans to wilful defaulters, and their names are published by RBI."
What is a stress test in banking?,A stress test simulates extreme economic scenarios to check if a bank has enough capital to stay solvent during a crisis — like a sharp rise in NPAs or liquidity crunch.
What is a contingent liability?,A contingent liability is a potential obligation that may arise depending on an uncertain future event — like a lawsuit or a bank guarantee that may be invoked.
What is a bank's efficiency ratio?,Efficiency ratio measures operating expenses as a percentage of revenue. A lower ratio (below 50%) means the bank manages costs well relative to income generated.
What is a subordinated debt?,Subordinated debt is a loan or bond that ranks below senior debt in priority during liquidation. Banks issue it to boost Tier 2 capital at lower cost than equity.
What is securitisation in banking?,"Securitisation is when a bank bundles similar loans (home loans, auto loans) into securities and sells them to investors, getting upfront cash while transferring credit risk."
What is priority sector lending target?,"RBI mandates banks to lend at least 40% of their net bank credit to priority sectors: agriculture (18%), MSME, housing, education, and weaker sections."
What is a green loan?,"A green loan is specifically used to fund environmentally sustainable projects — renewable energy, energy efficiency, green buildings, and clean transport."
What is ESG in banking?,"ESG stands for Environmental, Social, and Governance. Banks increasingly incorporate ESG criteria into lending decisions and investment policies."
What is financial literacy?,"Financial literacy is the knowledge and skills to make informed financial decisions — budgeting, saving, investing, understanding loans, and protecting against fraud."
What is a banking ombudsman complaint?,"If your bank doesn't resolve your complaint within 30 days, you can file a free complaint with the RBI Integrated Banking Ombudsman at cms.rbi.org.in."
What is a moratorium in loan?,"A moratorium is a temporary pause on EMI payments, granted by the bank or RBI during emergencies. Interest continues to accrue on the outstanding amount."
What is a bank's ALCO?,"ALCO (Asset Liability Committee) is a risk management committee of senior bankers that monitors and manages the bank's balance sheet, interest rate risk, and liquidity."
What is a bank's treasury?,"The treasury department manages a bank's own investments, liquidity, forex exposure, and compliance with CRR and SLR requirements."
What is a correspondent account?,"A correspondent account is held by one bank at another bank to facilitate payment processing and clearing between them, especially for cross-border transactions."
What is core capital in banking?,Core capital is the highest quality capital — equity and retained earnings — that a bank uses to absorb losses. It's the foundation of a bank's financial safety.
What is a bank consortium?,"A bank consortium is a group of banks jointly funding a large loan to a single borrower, sharing the risk. The lead bank coordinates the consortium."
What is a lender's liability?,"Lender's liability refers to legal obligations banks have towards borrowers — to act in good faith, disclose terms fairly, and not arbitrarily change loan conditions."
What is sub-debt issuance?,Sub-debt (subordinated debt) is issued by banks as bonds that pay higher interest but are repaid last in case of winding up. Used to boost Tier 2 regulatory capital.
What is a bank's dividend payout?,A bank's dividend payout is the portion of profits distributed to shareholders as dividends. RBI has guidelines on minimum capital adequacy before a bank can pay dividends.
What is a bond yield?,"Bond yield is the return on investment on a bond. When bond prices fall, yields rise. RBI's repo rate changes directly influence government bond yields."
What is a yield inversion?,Yield inversion occurs when short-term bond yields exceed long-term yields. It often signals that investors expect economic slowdown or recession ahead.
What is a floating rate bond?,A floating rate bond's interest adjusts periodically with a market benchmark. It protects investors when interest rates are rising.
What is an AT1 bond?,"Additional Tier 1 (AT1) bonds are high-risk, high-yield bonds issued by banks to raise regulatory capital. In a crisis, they can be written down (value reduced to zero) to save the bank."
What is a bank's return on equity?,Return on Equity (ROE) measures how much profit a bank earns per rupee of shareholders' equity. Higher ROE is better for investors.
What is a financial conglomerate?,"A financial conglomerate is a group offering banking, insurance, and investment services under one umbrella — like SBI Group or HDFC Group."
What is resolution of a failed bank?,"When a bank fails, RBI and the government arrange a resolution — through merger, sale, or bailout — to protect depositors and maintain financial stability."
What is the Financial Stability Report?,"RBI publishes the Financial Stability Report twice a year, assessing risks to India's banking sector, economy, and financial system."
What is an asset reconstruction company?,"An ARC buys bad loans (NPAs) from banks at a discount and then works to recover the money from the defaulting borrowers, cleaning up the bank's books."
What is the RBI's prompt corrective action?,"PCA framework restricts weak banks from paying dividends, opening branches, or growing their loan books until they meet capital, NPA, and profitability benchmarks."
What is bank nationalisation?,Bank nationalisation is when the government takes ownership of private banks. India nationalised 14 major banks in 1969 and 6 more in 1980 to expand banking access.
What is a banking sector reform?,"Banking sector reforms include liberalisation (new bank licences), privatisation discussions, NPA resolution, digital push, financial inclusion, and technology upgrades."
What is the significance of the 1991 reforms in Indian banking?,"The 1991 liberalisation allowed private banks to enter the sector, introduced CRAR norms, deregulated interest rates, and modernised the Indian banking system."
What is a virtual banking licence?,Some jurisdictions issue virtual banking licences to operate entirely digitally without physical branches. RBI is considering norms for digital-only banks in India.
What is a bank's net interest income (NII)?,NII is the difference between interest income from loans and interest paid on deposits. It's the most important revenue line for a bank.
What is an accretion model in banking?,"Accretion is the gradual increase in value of a security bought at a discount over its life to reach face value at maturity, booked as income."
What is the IBC resolution process for banks?,"Under the Insolvency and Bankruptcy Code, banks refer large defaulters to NCLT for resolution within 180–270 days. If not resolved, the company goes into liquidation."
What is a consortium lending?,"Consortium lending is when multiple banks jointly fund a large project loan, sharing risk proportionally, with one bank acting as the lead arranger."
What is a bank's minimum deposit to open FD?,"Most banks allow FDs from ₹1,000. Some banks start at ₹5,000. There's no upper limit on FD amount."
What is auto-debit in banking?,"Auto-debit is a standing instruction where the bank automatically deducts a fixed amount from your account on a set date — for EMIs, insurance, or utility bills."
What is account transfer from one branch to another?,You can transfer your account to a different branch of the same bank by submitting a request form. Your account number usually stays the same.
Can I have two savings accounts in the same bank?,"Generally, banks allow only one savings account per person. However, joint accounts, salary accounts, and special accounts like NRE are exceptions."
What is a salary account conversion?,"When you change jobs, your old salary account can be converted to a regular savings account. You may then need to maintain a minimum balance."
What is a bank's role in money creation?,"Banks create money through the lending process — every rupee deposited allows banks to lend multiple times that amount, expanding the money supply."
What is the penalty for not maintaining minimum balance?,"Banks charge ₹50 to ₹600 per month if your average balance falls below the required minimum, depending on the bank and type of account."
What is session timeout in net banking?,Net banking automatically logs you out after 5–15 minutes of inactivity to prevent unauthorised access if you forget to log out.
What is a payment link?,A payment link is a shareable URL or QR generated by merchants or individuals that directs the payer to a pre-filled payment page on UPI or card platforms.
What is DigiPay?,DigiPay is NPCI's device-based payment application for banking correspondents that enables Aadhaar-based banking services in areas without internet connectivity.
What is a virtual payment address?,A VPA (like yourname@bankname) is your UPI identity for receiving money without sharing account number or IFSC. You can have multiple VPAs.
What is UPI transaction pending?,A UPI transaction shows as pending when the transfer has been initiated but not yet confirmed by the receiver's bank. It usually resolves in a few minutes.
What is a failed UPI transaction refund time?,"If a UPI transaction fails, the money is auto-refunded within 2–3 business days. If not, raise a complaint through the UPI app or your bank."
What is IMPS vs UPI?,Both are instant 24x7 transfers. UPI uses a VPA/QR and works on mobile apps. IMPS requires account number and IFSC. UPI is more widely used today.
What is a linked bank account in UPI?,"When you register on a UPI app, you link your bank account to it. Multiple accounts from different banks can be linked to one UPI app."
What is a collect request in UPI?,"In UPI, a collect request is sent by a merchant or individual asking you to approve a payment. You receive a notification and must confirm to complete the transfer."
What is a CIBIL dispute?,If your CIBIL report has an error — like a loan you never took — you can raise a dispute on the CIBIL website. CIBIL verifies with the bank and corrects it.
What is a loan against property interest rate?,Loan against property (LAP) interest rates are typically 8–12% p.a. — lower than personal loans because the property provides security to the bank.
What is a home loan pre-payment?,Pre-payment is paying a lump sum amount towards your home loan principal before the EMI date. It reduces the outstanding balance and saves on total interest.
What is an EMI moratorium?,"During financial stress (like COVID-19), RBI may allow banks to offer an EMI moratorium — a temporary pause on repayments for 3–6 months."
What is the difference between interest rate and APR?,"Interest rate is the base cost of borrowing. APR (Annual Percentage Rate) includes all fees and charges, giving the true total cost of the loan."
What is a co-borrower vs co-applicant?,"Co-borrower and co-applicant usually mean the same thing. They jointly apply, share ownership of the loan, and are equally responsible for repayment."
What is loan amortisation?,"Amortisation is the process of gradually paying off a loan in regular instalments. In early EMIs, a larger portion covers interest; later, more goes to principal."
What is a loan write-off?,A loan write-off means the bank removes a bad loan from its books as a loss but can still legally pursue recovery from the borrower.
What is a farm loan waiver?,"A farm loan waiver is when the state or central government cancels outstanding agricultural loans for farmers, usually for small and marginal farmers facing distress."
What is priority sector classification for loans?,"Priority sector loans include credit to agriculture, MSMEs, education, housing for low-income groups, and social infrastructure. Banks must allocate 40% of advances here."
What is an anti-phishing tip?,"Banks will never ask for your OTP, password, or CVV by phone, SMS, or email. Always verify before sharing any information, even if the caller claims to be from your bank."
What is a cyber fraud recovery?,"If you're a victim of cyber fraud, report immediately to your bank and the national cybercrime portal (cybercrime.gov.in). Act within 24 hours to improve chances of recovery."
What is a bank's complaint resolution timeline?,"As per RBI guidelines, banks must acknowledge complaints within 3 days and resolve them within 30 days. Delays entitle you to compensation."
What is the role of FIU-IND?,"Financial Intelligence Unit India (FIU-IND) collects, analyses, and shares financial intelligence reports (STRs and CTRs) from banks to detect money laundering and terror financing."
What is a bank inspection by RBI?,"RBI inspects banks annually under the Financial Inspection process to check asset quality, capital adequacy, governance, compliance, and management quality."
What is a bank's grievance redressal mechanism?,"Banks have multi-level grievance redressal: branch manager, regional office, nodal officer, and finally RBI Ombudsman. Each level has a set resolution timeline."
What is account takeover fraud?,"Account takeover is when a fraudster gains full control of your bank account by stealing credentials through phishing, vishing, or SIM swap."
What is a debit card cloning?,Card cloning copies your debit card's magnetic stripe data using a skimming device. The cloned card is then used for unauthorized withdrawals.
What is a cash flow statement?,"A cash flow statement shows how cash moves in and out of a business — from operations, investments, and financing. It's one of the three main financial statements."
What is a profit and loss statement?,"A P&L statement shows a company's revenue, expenses, and net profit or loss over a period. Also called an income statement."
What is working capital?,Working capital is current assets minus current liabilities. Positive working capital means the business can meet short-term obligations without borrowing.
What is free cash flow?,"Free cash flow is the cash left after a company meets its operating costs and capital expenditure. It can be used for debt repayment, dividends, or growth."
What is leverage in finance?,Leverage is using borrowed money to amplify investment returns. It increases both potential gains and potential losses.
What is a financial statement analysis?,"Financial statement analysis examines a company's balance sheet, income statement, and cash flows using ratios and trends to assess its health and performance."
What is equity financing?,"Equity financing is raising money by issuing shares of ownership in a company. Unlike debt, it doesn't need to be repaid, but ownership is diluted."
What is debt financing?,Debt financing is borrowing money — through loans or bonds — that must be repaid with interest. It doesn't dilute ownership but creates a repayment obligation.
What is a line of credit?,A line of credit is a flexible borrowing facility from a bank where you can withdraw up to a set limit as needed and pay interest only on the amount used.
What is solvency?,Solvency is the ability of a person or company to meet long-term financial obligations. Insolvent means liabilities exceed assets.
How do I dispute a failed ATM withdrawal?,Call your bank's helpline immediately or raise a complaint through net banking. The bank must refund within 5 days or pay ₹100/day compensation.
How do I get a no-objection certificate from a bank?,"After fully repaying a loan, request an NOC at the branch. It's usually issued within 3–7 working days confirming the loan is closed."
How do I change my bank account's email ID?,"Log in to net banking and update email under account settings, or visit the branch. An OTP to your mobile will confirm the change."
How do I request a bank reference letter?,Visit your branch and request a bank reference or confirmation letter. It confirms your account existence and is usually issued within 2–3 working days.
How do I close my PPF account prematurely?,PPF allows premature closure only after 5 years for medical treatment or higher education. You receive the corpus minus a 1% interest penalty.
How do I update my address in Aadhaar through the bank?,You cannot update Aadhaar through a bank. Visit an Aadhaar Seva Kendra or do it online at myaadhaar.uidai.gov.in with valid address proof.
How do I activate push notifications for my bank account?,"Log in to your mobile banking app, go to notification settings, and enable push alerts for credits, debits, logins, and low balance warnings."
How do I set a transaction limit for my UPI?,"UPI limits are set by RBI and your bank. Within the allowed ceiling, you can adjust daily transfer limits in the UPI app's settings section."
How do I apply for a loan balance transfer?,"Apply to the new bank with your existing loan statements, property papers (for home loan), and income documents. On approval, the new bank pays off the old lender."
How do I check the status of my credit card application?,"Use the bank's application tracking portal, mobile app, or call the helpline with your reference number to check approval, pending, or rejected status."
How do I split FD into multiple accounts?,"While opening an FD, you can choose to split the amount into multiple FDs of different tenures or amounts, giving you staggered maturity dates for liquidity."
What is the claim process for PMJJBY?,"In case of the insured's death, the nominee submits the claim form with death certificate, bank passbook copy, and identity proof to the insured's bank branch."
What is the claim process for PMSBY?,"The nominee submits a claim form with accident report (FIR or panchnama), death/disability certificate, and bank details to the bank branch within 30 days."
What is the DBT payment mode?,"Direct Benefit Transfer (DBT) directly credits government benefits — subsidies, scholarships, MNREGA wages — to the beneficiary's Aadhaar-linked bank account."
What is a PMFBY claim?,"Under PM Fasal Bima Yojana, farmers must inform the bank or insurance company within 72 hours of crop loss. Compensation is assessed by a survey and credited to the account."
What is a group health insurance by bank?,Some banks offer group health insurance to account holders at discounted rates. It's an optional product sold through bancassurance tie-ups.
What is ESIC maternity benefit?,"ESIC provides full wages for 26 weeks during maternity leave to female employees earning under ₹21,000/month, covered under the ESI Act."
What is the PM Kisan Samman Nidhi registration?,"Farmers can register for PM-KISAN at their bank branch or online via the PM-KISAN portal with land records, Aadhaar, and bank account details."
What is a health insurance TPA?,"TPA (Third Party Administrator) is a IRDAI-licensed company that processes health insurance claims between the insured and the insurer, facilitating cashless hospitalization."
What is a waiting period in health insurance?,Most health policies don't cover pre-existing diseases for 2–4 years and have shorter waits for specific conditions like cataracts and hernia.
What is the TCS rate on foreign remittance for education?,"For education loans from financial institutions, TCS is 0.5% on remittances above ₹7 lakh per year. For self-funded education, TCS is 5% above ₹7 lakh."
What is a foreign currency demand draft?,A foreign currency DD is a prepaid bank draft in a foreign currency (like USD) used for university fee payments abroad. The bank charges a conversion fee.
What is the FATCA declaration in banking?,FATCA (Foreign Account Tax Compliance Act) requires Indian banks to report accounts of US persons to the US tax authority. All customers must submit a FATCA declaration at account opening.
What is the CRS declaration?,Common Reporting Standard (CRS) is a global tax information exchange framework. Banks collect residency and tax information from customers to share with tax authorities.
What is a cross-border NACH mandate?,"A cross-border NACH-like arrangement is being developed for recurring international payments. Currently, international recurring payments use card-based mandates."
What is a BIC code?,BIC (Bank Identifier Code) is another term for the SWIFT code used to identify a bank's specific branch in international wire transfers.
What is a money transfer operator?,"MTOs like Western Union, MoneyGram, and Wise (TransferWise) facilitate international money transfers quickly, often faster and cheaper than traditional bank wires."
What is an open-ended mutual fund?,An open-ended fund continuously accepts new investments and redemptions at the current NAV. You can invest and withdraw anytime — unlike closed-ended funds.
What is a closed-ended mutual fund?,A closed-ended fund raises money once during an NFO (New Fund Offer) and is listed on the stock exchange. Units can only be bought/sold on the exchange after the NFO.
What is an NFO?,NFO (New Fund Offer) is the launch of a new mutual fund scheme. It's the mutual fund equivalent of an IPO. Units are offered at ₹10 face value during the NFO.
What is an interval fund?,"An interval fund allows redemption only during specific intervals (monthly, quarterly). It invests in less liquid assets and offers slightly higher returns."
What is a debt mutual fund taxation?,"From April 2023, debt mutual funds are taxed at your income tax slab rate regardless of holding period. The earlier LTCG with indexation benefit was removed."
What is a hybrid fund taxation?,"Hybrid funds with over 65% equity are taxed like equity (LTCG 10% after ₹1 lakh, STCG 15%). Below 65% equity, they're taxed like debt funds."
What is an exit load in mutual fund?,Exit load is a charge (usually 1%) if you redeem mutual fund units before a specified holding period (typically 1 year for equity funds). It discourages premature withdrawal.
What is total expense ratio?,"TER is the annual cost of managing a mutual fund, expressed as a percentage of assets. A lower TER means more of your returns stay with you."
What is a direct plan mutual fund?,A direct plan is purchased directly from the fund house without a broker. It has a lower expense ratio than a regular plan and gives better long-term returns.
What is a regular plan mutual fund?,"A regular plan is bought through a broker or distributor. The distributor earns a commission built into the expense ratio, making the TER slightly higher than direct plans."
What is the Nifty Bank index?,Nifty Bank tracks the 12 most liquid and large banking sector stocks on NSE. It's a benchmark for banking sector performance and related ETFs.
What is a gold mutual fund?,A gold fund invests in gold ETFs or shares of gold mining companies. It provides gold exposure without holding physical metal.
What is a bank's interest rate risk?,Interest rate risk is the impact on a bank's earnings and capital when interest rates change unexpectedly. Rising rates reduce the value of fixed-rate bonds held by the bank.
What is a bank's operational risk?,"Operational risk is the risk of loss from failed internal processes, people, systems, or external events — like a system outage, fraud, or natural disaster."
What is market risk for banks?,"Market risk is the risk that changes in interest rates, forex rates, equity prices, or commodity prices will reduce the value of a bank's trading or investment portfolio."
What is a bank's reputation risk?,"Reputation risk is the potential for negative public perception — from fraud, poor service, or regulatory penalties — to damage the bank's customer base and business."
What is a bank's compliance department?,"The compliance team ensures the bank follows all laws, RBI guidelines, AML rules, KYC norms, and internal policies. Non-compliance can result in heavy penalties."
